title,company,location,link
Работодателям,FutureToday,Нижний Новгород,/set_user_type?user_type=employer&backurl=%2Fsearch%2Fvacancy%3Ftext%3Dpython%26salary%3D%26ored_clusters%3Dtrue%26enable_snippets%3Dtrue%26area%3D66%26hhtmFrom%3Dvacancy_search_list%26hhtmFromLabel%3Dvacancy_search_line%26page%3D0&hhtmFrom=vacancy_search_list
Аналитик в области корпоративных финансов — стажер в Сбер,FutureToday,Нижний Новгород,https://adsrv.hh.ru/click?b=1413683&place=35&meta=HMXh3jhIyxaDTp-tkiO-nxet8Oi2Z56svITwsp3cFMlmGz7di2J2bPH0XhIqfj2-IXMi-EQlCxvhSk9LR5zzrWbHeSySx1FqHpL3MdzN3Sx3qdXuPHsvM541L0GEpdztrv3368ykaN9oksHwF95Pr6uYXAInhRmVJaZMLNhHxuB5ByGrzSm89rHxf0j0clIAtFlX8ronA7Be0JIdHfikpiEwcPrLfNmWDPClSrpLpxRvkS_JDDvZ4pybEiWfEJe7sgTzZdhLgSB4ZL7-2SHSWNl6Cy9EjsNQdj-AslDk6pmztAa7m3usieza75H9fxPJceO86K26Os_ZuuJKlGAKeoRjAa2shpH_bUIt9NjIOBxMe06lIoY6vYXNYRIGb_Uh4Jn1VxOeZUgHkfnkD605QXrOOO2SXf8zYTh79oJA2JMJSqWV0EMizHe0cDu4ypE1mr017tECxm9_FOJjEvTXrcE6CVMSh99aqB8AvPiryNLVHP_DeNQScthhCwSUHJT_xizYUgFMLHwxTNwVzzvr0aA-HD7Guk16NnIhYwdyNfI%3D&clickType=link_to_vacancy
Аналитик CLTV,Сбер для экспертов,Нижний Новгород,https://nn.hh.ru/vacancy/111626987?query=python&hhtmFrom=vacancy_search_list
Преподаватель по курсу Python,Международная школа программирования CODDY,Нижний Новгород,https://nn.hh.ru/vacancy/110453907?query=python&hhtmFrom=vacancy_search_list
Python-разработчик,Стратосфера,Нижний Новгород,https://nn.hh.ru/vacancy/110872118?query=python&hhtmFrom=vacancy_search_list
QA Python engineer (Стажер),Центр финансовых технологий,Нижний Новгород,https://nn.hh.ru/vacancy/111765445?query=python&hhtmFrom=vacancy_search_list
Python разработчик/developer в онлайн-банк,ИП Журавлева Елена Александровна,Нижний Новгород,https://nn.hh.ru/vacancy/110871123?query=python&hhtmFrom=vacancy_search_list
Python разработчик,Т-Банк,Нижний Новгород,https://nn.hh.ru/vacancy/109201400?query=python&hhtmFrom=vacancy_search_list
Python разработчик (Middle),БАРС Груп,Нижний Новгород,https://nn.hh.ru/vacancy/111567992?query=python&hhtmFrom=vacancy_search_list
Python-разработчик,АО РусГидро ОЦО,Нижний Новгород,https://nn.hh.ru/vacancy/111315717?query=python&hhtmFrom=vacancy_search_list
Python developer / Разработчик Python (KORNFELD),YADRO,Нижний Новгород,https://nn.hh.ru/vacancy/89889132?query=python&hhtmFrom=vacancy_search_list
Senior Python developer,Bell Integrator,Нижний Новгород,https://nn.hh.ru/vacancy/111250547?query=python&hhtmFrom=vacancy_search_list
Программист Python / Разработчик Python,КомплектСофт,Нижний Новгород,https://nn.hh.ru/vacancy/111072465?query=python&hhtmFrom=vacancy_search_list
Python разработчик,SWOYO,Нижний Новгород,https://nn.hh.ru/vacancy/110997508?query=python&hhtmFrom=vacancy_search_list
Backend-разработчик сервисов (C#/Python),Directum,Нижний Новгород,https://nn.hh.ru/vacancy/108960617?query=python&hhtmFrom=vacancy_search_list
Python developer,ООО Гарда Технологии,Нижний Новгород,https://nn.hh.ru/vacancy/110949372?query=python&hhtmFrom=vacancy_search_list
"Senior Automation QA, Python (Rubackup)",Группа компаний Астра,Нижний Новгород,https://nn.hh.ru/vacancy/109534789?query=python&hhtmFrom=vacancy_search_list
Python разработчик (Центр компетенций CV и нейросетевой оптимизации),ООО Автотех,Нижний Новгород,https://nn.hh.ru/vacancy/109163052?query=python&hhtmFrom=vacancy_search_list
Python разработчик (Middle),ПАО Ростелеком,Нижний Новгород,https://nn.hh.ru/vacancy/98625238?query=python&hhtmFrom=vacancy_search_list
Python разработчик (разработчик логики),Neuro.net,Нижний Новгород,https://nn.hh.ru/vacancy/110331727?query=python&hhtmFrom=vacancy_search_list
QA Automation engineer (Python),Nexign (АО Нэксайн),Нижний Новгород,https://nn.hh.ru/vacancy/102662260?query=python&hhtmFrom=vacancy_search_list
